20270;01140203700001;01140203700001;YSUR;LdS.x-1;YPF.Nq.LdS.x-1;GL;725.0;1753.5;2440076.74187855;5657146.2907127;Loma del Sueno;Neuquen;N/D;AMERICAS PETROGAS;1984-01-01;1;TOTORAL;Neuquen;YSUR;Projection unknown. Data from JAC;AMERICAS PETROGAS
30489;PSEUDO1599152007346;PSEUDO1599152007346;;CMoE.a-21_PSEUDO;;NA;0.0;10000.0;2542038.0;5862581.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30491;PSEUDO1599152007407;PSEUDO1599152007407;;CMoE.a-23_PSEUDO;;NA;0.0;10000.0;2540505.0;5863226.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30493;PSEUDO1599152007445;PSEUDO1599152007445;;CMoE.a-36_PSEUDO;;NA;0.0;10000.0;2540212.0;5861574.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30495;PSEUDO1599152007483;PSEUDO1599152007483;;CMoE.a-48_PSEUDO;;NA;0.0;10000.0;2541217.0;5860652.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30497;PSEUDO1599152007522;PSEUDO1599152007522;;CMoE.a-49_PSEUDO;;NA;0.0;10000.0;2544903.0;5862961.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30499;PSEUDO1599152007558;PSEUDO1599152007558;;CMoE.a-50_PSEUDO;;NA;0.0;10000.0;2539215.0;5862803.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30501;PSEUDO1599152007596;PSEUDO1599152007596;;CMoE.a-56_PSEUDO;;NA;0.0;10000.0;2543851.0;5862391.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30503;PSEUDO1599152007632;PSEUDO1599152007632;;CMoE.a-57_PSEUDO;;NA;0.0;10000.0;2535084.0;5863260.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30505;PSEUDO1599152007669;PSEUDO1599152007669;;CMoE.a-58_PSEUDO;;NA;0.0;10000.0;2538200.0;5863133.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30507;PSEUDO1599152007705;PSEUDO1599152007705;;CMoE.a-60_PSEUDO;;NA;0.0;10000.0;2541714.0;5859740.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30509;PSEUDO1599152007743;PSEUDO1599152007743;;CMoE.a-63_PSEUDO;;NA;0.0;10000.0;2539157.0;5860696.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30511;PSEUDO1599152007778;PSEUDO1599152007778;;CMoE.a-64_PSEUDO;;NA;0.0;10000.0;2539920.0;5859916.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30513;PSEUDO1599152007810;PSEUDO1599152007810;;CMoE.a-65_PSEUDO;;NA;0.0;10000.0;2536827.0;5860325.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
30515;PSEUDO1599152007848;PSEUDO1599152007848;;CMoE.a-75_PSEUDO;;NA;0.0;10000.0;2536631.0;5862291.0;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;;;;UNKNOWN;;;UNKNOWN
